institute , institutes
relocation , relocations
lane , lanes
short , shorts
license , licensees
incompetent , incompetents
source , sourced
facilitate , facilitates
involve , involved
volume , volumes
guitar , guitars
shell , shells
other , others
base , based
number , numbers
legend , legends
inspire , inspired
boyle , boyles
reduction , reductions
plea , plead
crew , crews
view , views
hand , hands
value , values
put , puts
variant , variants
instrument , instruments
pro , proved
seat , seats
yard , yards
exit , exits
vehicle , vehicles
figure , figures
asset , assets
set , sets
buy , buys
gaita , gaitas
drum , drums
village , villages
bomb , bombs
var , varies
cross , crosses
gem , gems
assemble , assembled
permit , permitted
en , ended
hear , heard
genre , genres
message , messages
raise , raised
lan , landed
bulge , bulges
officer , officers
translate , translates
jon , jones
fair , fairs
design , designs
edge , edges
bovate , bovates
count , counties
reveal , reveals
part , parts
william , williams
rate , rated
state , states
twin , twinned
pass , passes
food , foods
tear , tears
hundred , hundreds
pig , pigs
date , dates
license , licensed
resource , resources
weapon , weapons
say , said
review , reviews
think , thought
lan , land
do , does
air , airs
beat , beats
juglar , juglares
name , named
bring , brought
include , includes
site , sites
panic , panics
cause , causes
single , singled
ending , endings
produce , produced
tell , tells
distance , distances
experiment , experiments
river , rivers
ambulance , ambulances
witness , witnesses
pie , pieces
price , priced
route , routed
tunnel , tunnels
arm , arms
partner , partners
sport , sports
survivor , survivors
publication , publications
strike , strikes
composer , composers
accordion , accordions
move , moved
turret , turrets
throw , threw
practice , practices
send , sent
result , results
allow , allows
area , areas
power , powers
die , died
free , freed
mi , mixes
show , shows
common , commons
reduce , reduced
feature , featured
engage , engaged
execute , executed
minute , minutes
ten , tend
flee , flees
law , laws
spot , spots
yellow , yellows
chart , charts
connection , connections
packet , packets
tax , taxes
ballad , ballads
friend , friends
give , gave
order , orders
writing , writings
beam , beams
men , mend
break , breaks
account , accounts
address , addresses
trick , tricks
leave , leaves
murder , murders
find , found
character , characters
increase , increased
drawing , drawings
road , roads
describe , described
boat , boats
new , news
bulkhead , bulkheads
rule , rules
star , starred
pit , pits
mussel , mussels
provider , providers
cove , covered
recognise , recognises
go , went
feed , feeds
length , lengths
sunday , sundays
program , programs
remain , remains
peasant , peasants
thing , things
collection , collections
town , towns
carrier , carriers
like , likes
date , dated
student , students
court , courts
add , adds
limit , limits
draft , drafts
position , positions
name , names
hill , hills
include , included
look , looks
part , parties
participate , participated
director , directories
cartoonist , cartoonists
scale , scales
edge , edged
draw , draws
artist , artistes
sector , sectors
decline , declines
right , rights
church , churches
state , stated
mention , mentions
step , steps
soldier , soldiers
play , plays
o , owes
period , periods
agent , agents
yield , yields
translate , translated
dabney , dabneys
pet , pets
representative , representatives
go , goes
predecessor , predecessors
award , awards
system , systems
method , methods
reverse , reversed
mean , means
threat , threats
raise , raises
statue , statues
var , varied
build , builds
letter , letters
discussion , discussions
http , https
parent , parents
situation , situations
arrive , arrived
require , required
battleship , battleships
f , feed
veteran , veterans
par , parted
infrastructure , infrastructures
bed , beds
enterprise , enterprises
straw , straws
support , supports
owner , owners
writer , writers
class , classes
scheme , schemes
dreadnought , dreadnoughts
withdraw , withdrawn
department , departments
night , nights
enter , enters
al , alpes
value , valued
network , networks
grant , grants
hold , held
pro , proves
national , nationals
steal , stolen
ban , band
engineer , engineers
structure , structures
guard , guards
theme , themes
correspond , corresponds
score , scored
book , books
standard , standards
layer , layers
bike , bikes
machine , machines
record , records
reunite , reunited
show , shown
close , closes
far , farmed
break , broken
travel , travels
region , regions
test , tests
force , forced
make , made
approach , approaches
jewel , jewels
dragon , dragons
experience , experienced
top , topped
idea , ideas
side , sides
recognise , recognised
politician , politicians
wind , wound
german , germans
flute , flutes
pasture , pastures
congregation , congregations
day , days
take , took
overlook , overlooks
draw , drew
develop , develops
describe , describes
promise , promises
human , humans
attempt , attempts
invite , invites
give , gives
deck , decks
come , came
year , years
spend , spends
final , finals
list , lists
flow , flows
isp , isps
generate , generated
well , wells
building , buildings
event , events
cal , called
come , comes
do , did
rider , riders
leave , left
camera , cameras
product , products
ten , tens
branch , branches
improve , improved
turn , turns
jet , jets
shoot , shoots
count , counts
portion , portions
replace , replaced
ban , banned
char , charles
follower , followers
brother , brothers
plea , pleaded
grin , grins
bank , banks
unit , units
practice , practiced
american , americans
send , sends
hope , hopes
father , fathers
mi , mixed
feature , features
debt , debts
white , whites
guinea , guineas
route , routes
bureau , bureaux
island , islands
work , works
monument , monuments
become , becomes
sell , sold
price , prices
mount , mounts
championship , championships
improvement , improvements
diamond , diamonds
achieve , achieved
firm , firms
single , singles
tradition , traditions
critic , critics
week , weeks
node , nodes
field , fields
secret , secrets
school , schools
age , aged
outdoor , outdoors
vallenato , vallenatos
singer , singers
plate , plates
version , versions
cause , caused
have , had
star , started
